Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote (Price),source
FLT,"FleetCor Technologies, Inc.",194.54,$23.9B,2010,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/flt,AMEX
FND,"Floor & Decor Holdings, Inc.",31.79,$3.09B,2017,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fnd,AMEX
FTK,"Flotek Industries, Inc.",1.51,$86.13M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ftk,AMEX
FLO,"Flowers Foods, Inc.",19.86,$4.19B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/flo,AMEX
FLS,Flowserve Corporation,47.77,$6.25B,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/fls,AMEX
FLR,Fluor Corporation,44.5,$6.26B,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/flr,AMEX
FLY,Fly Leasing Limited,12.9,$421.19M,2007,n/a,n/a,https://www.nasdaq.com/symbol/fly,AMEX
FMC,FMC Corporation,81.24,$10.94B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fmc,AMEX
FMX,Fomento Economico Mexicano S.A.B. de C.V.,86.54,$154.83B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/fmx,AMEX
FL,"Foot Locker, Inc.",51.08,$5.87B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/fl,AMEX
F,Ford Motor Company,9.54,$37.95B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/f,AMEX
FELP,Foresight Energy LP,3.9,$568.62M,2014,Energy,Coal Mining,https://www.nasdaq.com/symbol/felp,AMEX
FCE.A,"Forest City Realty Trust, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fce.a,AMEX
FOR,Forestar Group Inc,15.29,$641.25M,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/for,AMEX
FTS,Fortis Inc.,34.91,$14.89B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fts,AMEX
FTV,Fortive Corporation,75.21,$25.12B,2016,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ftv,AMEX
FTV^A,Fortive Corporation,1001.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ftv^a,AMEX
FTAI,Fortress Transportation and Infrastructure Investors LLC,16.48,$1.36B,2015,n/a,n/a,https://www.nasdaq.com/symbol/ftai,AMEX
FSM,Fortuna Silver Mines Inc.,3.26,$521.34M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fsm,AMEX
FBHS,"Fortune Brands Home & Security, Inc.",43.15,$6.1B,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/fbhs,AMEX
FET,"Forum Energy Technologies, Inc.",7.16,$781.64M,2012,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fet,AMEX
FBM,"Foundation Building Materials, Inc.",9.76,$418.65M,2017,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fbm,AMEX
FCPT,"Four Corners Property Trust, Inc.",27.03,$1.7B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fcpt,AMEX
FEDU,Four Seasons Education (Cayman) Inc.,4.52,$225.7M,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/fedu,AMEX
FNV,Franco-Nevada Corporation,63.34,$11.8B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fnv,AMEX
FC,Franklin Covey Company,22.8,$317.1M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/fc,AMEX
FSB,"Franklin Financial Network, Inc.",34.2,$495.48M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/fsb,AMEX
BEN,"Franklin Resources, Inc.",31.09,$15.95B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ben,AMEX
FT,Franklin Universal Trust,6.5902,$165.62M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ft,AMEX
FI,Frank&#39;s International N.V.,7.45,$1.67B,2013,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/fi,AMEX
FCX,"Freeport-McMoran, Inc.",11.25,$16.3B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fcx,AMEX
FMS,Fresenius Medical Care Corporation,39.49,$24.23B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/fms,AMEX
FDP,"Fresh Del Monte Produce, Inc.",31.48,$1.52B,1997,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/fdp,AMEX
RESI,Front Yard Residential Corporation,8.8,$471.95M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/resi,AMEX
FRO,Frontline Ltd.,6.03,$1.02B,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/fro,AMEX
FSIC,FS Investment Corporation,6.33,$1.51B,2014,n/a,n/a,https://www.nasdaq.com/symbol/fsic,AMEX
FCN,"FTI Consulting, Inc.",67.01,$2.57B,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/fcn,AMEX
