Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.44,4.3,,30,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.49,4.3,,25,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.69,4.4,,20,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.79,4.4,,15,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.64,4.1,,40,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.54,4.4,,10,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.79,4.1,,30,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.84,4.1,,25,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.04,4.2,,20,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.14,4.3,,15,Existing Customers ,Primary Residence,Principal + Interest,3,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,3.6,,40,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.74,4.1,,10,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,1.99,3.6,,30,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.04,3.7,,25,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,3.9,,20,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.34,4,,15,Existing Customers ,Primary Residence,Principal + Interest,5,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.49,4.3,,40,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.54,4.2,,30,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.59,4.3,,25,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.79,4.4,,20,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,4.4,,15,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.29,4.5,,10,Existing Customers ,Primary Residence,Principal + Interest,2,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,Lifetime Tracker,"5,000",Offline,,Fixed,2.99,3.3,,60,Existing Customers ,Primary Residence,Principal + Interest,,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,Lifetime Tracker,"5,000",Offline,,Fixed,3.14,3.3,,70,Existing Customers ,Primary Residence,Principal + Interest,,_YMF
 2018-03-20,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,Lifetime Tracker,"5,000",Offline,,Fixed,3.29,3.5,,75,Existing Customers ,Primary Residence,Principal + Interest,,_YMF
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"72,000",Offline,10,Variable,3.00%,4.20%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,1,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"72,000",Offline,10,Variable,3.00%,4.00%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,2,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"72,000",Offline,10,Variable,3.00%,3.90%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,3,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"72,000",Offline,10,Variable,3.00%,3.70%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,5,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"72,000",Offline,10,Variable,3.30%,3.60%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,10,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"72,000",Offline,10,Variable,4.20%,4.30%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"2,16,000",Offline,10,Variable,3.00%,4.20%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,1,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"2,16,000",Offline,10,Variable,3.00%,4.00%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,2,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"2,16,000",Offline,10,Variable,3.00%,3.90%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,3,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"2,16,000",Offline,10,Variable,3.00%,3.70%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,5,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"2,16,000",Offline,10,Variable,3.30%,3.60%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,10,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"2,16,000",Offline,10,Variable,4.20%,4.30%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"3,60,000",Offline,10,Variable,3.00%,4.20%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,1,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"3,60,000",Offline,10,Variable,3.00%,4.00%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,2,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"3,60,000",Offline,10,Variable,3.00%,3.90%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,3,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"3,60,000",Offline,10,Variable,3.00%,3.70%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,5,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"3,60,000",Offline,10,Variable,3.30%,3.60%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,10,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"3,60,000",Offline,10,Variable,4.20%,4.30%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,,10YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"72,000",Offline,15,Variable,3.00%,4.20%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,1,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"72,000",Offline,15,Variable,3.00%,4.00%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,2,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"72,000",Offline,15,Variable,3.00%,3.90%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,3,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"72,000",Offline,15,Variable,3.00%,3.70%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,5,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"72,000",Offline,15,Variable,3.30%,3.60%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,10,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"72,000",Offline,15,Variable,4.20%,4.30%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"2,16,000",Offline,15,Variable,3.00%,4.20%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,1,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"2,16,000",Offline,15,Variable,3.00%,4.00%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,2,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"2,16,000",Offline,15,Variable,3.00%,3.90%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,3,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"2,16,000",Offline,15,Variable,3.00%,3.70%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,5,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"2,16,000",Offline,15,Variable,3.30%,3.60%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,10,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"2,16,000",Offline,15,Variable,4.20%,4.30%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"3,60,000",Offline,15,Variable,3.00%,4.20%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,1,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"3,60,000",Offline,15,Variable,3.00%,4.00%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,2,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"3,60,000",Offline,15,Variable,3.00%,3.90%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,3,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"3,60,000",Offline,15,Variable,3.00%,3.70%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,5,15YMV
