Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Term Deposits,,Fixed Bond  -  1 Year,"2,000",,Offline,12.0,Variable,0.4%,0.4%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Term Deposits,,Fixed Rate Cash ISA  -  2 Year,1,,Offline,24.0,Variable,0.5%,0.5%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Help to Buy: ISA,1,,Offline,,Variable,1.5%,1.5%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Easy Saver,1,,Offline,,Variable,0.2%,0.2%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Term Deposits,,Fixed Bond  -  1 Year,"2,000",,Offline,12.0,Variable,0.4%,0.4%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Term Deposits,,Fixed Rate Cash ISA  -  2 Year,1,,Offline,24.0,Variable,0.5%,0.5%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Help to Buy: ISA,1,,Offline,,Variable,1.5%,1.5%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Instant Saver,1,"24,999",Bank_Offer_Feature,,Variable,0.10%,0.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Instant Saver,"25,000","999,999",Bank_Offer_Feature,,Variable,0.20%,0.20%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Instant Saver,10000000,,Bank_Offer_Feature,,Variable,0.25%,0.25%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,1,,Bank_Offer_Feature,,Variable,0.10%,0.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,1,"5,000",Bank_Offer_Feature,,Variable,1.50%,1.50%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,"5,001","10,000",Bank_Offer_Feature,,Variable,1.00%,1.00%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,"10,000",,Bank_Offer_Feature,,Variable,0.20%,0.20%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,1,,Bank_Offer_Feature,,Variable,0.00%,0.00%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,1,"5,000",Bank_Offer_Feature,,Variable,1.50%,1.50%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,"5,001","10,000",Bank_Offer_Feature,,Variable,1.00%,1.00%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Savings Builder,"10,000",,Bank_Offer_Feature,,Variable,0.20%,0.20%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Premium Saver,1,,Bank_Offer_Feature,,Variable,0.10%,0.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Premium Saver,1,"24,999",Bank_Offer_Feature,,Variable,0.10%,0.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Premium Saver,"25,000","49,999",Bank_Offer_Feature,,Variable,0.50%,0.50%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Premium Saver,"50,000",1,Bank_Offer_Feature,,Variable,0.75%,0.75%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Premium Saver,1,,Bank_Offer_Feature,,Variable,0.10%,0.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Cash ISA,"10,000",,Bank_Offer_Feature,,Variable,,0.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Cash ISA,"10,000","24,999",Bank_Offer_Feature,,Variable,,0.25%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Cash ISA,"25,000","49,999",Bank_Offer_Feature,,Variable,,0.50%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Savings,,Cash ISA,"50,000",,Bank_Offer_Feature,,Variable,,0.75%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA,"1,000","24,999",Bank_Offer_Feature,12.0,Fixed,,1.00%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA,"25,000",,Bank_Offer_Feature,12.0,Fixed,,1.10%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA,"1,000","24,999",Bank_Offer_Feature,24.0,Fixed,,1.15%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA,"25,000",,Bank_Offer_Feature,24.0,Fixed,,1.25%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate,"5,000","49,999",Bank_Offer_Feature,12.0,Fixed,,0.90%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate,"50,000","500,000",Bank_Offer_Feature,12.0,Fixed,,0.95%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Rate,"5,000","49,999",Bank_Offer_Feature,24.0,Fixed,1.00%,1.00%
 2018-03-20,UK,London,NatWest,,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Rate,"50,000","500,000",Bank_Offer_Feature,24.0,Fixed,1.05%,1.06%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,,Instant Saver,1,"24,999",Offline,,Variable,0.10%,0.10%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,,Instant Saver,"25,000","99,999",Offline,,Variable,0.20%,0.20%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,,Instant Saver,"100,000",,Offline,,Variable,0.25%,0.25%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,,Instant Access ISA,1,"24,999",Offline,,Variable,0.25%,
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,,Instant Access ISA,"25,000",,Offline,,Variable,0.75%,
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA 1 year fixed,"1,000","24,999",Offline,12.0,Fixed,1.00%,
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA 1 year fixed,"25,000",,Offline,12.0,Fixed,1.10%,
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA 2 year fixed,"1,000","24,999",Offline,24.0,Fixed,1.15%,
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Rate ISA 2 year fixed,"25,000",,Offline,24.0,Fixed,1.25%,
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings Account 1 year fixed,"5,000","49,999",Offline,12.0,Fixed,0.90%,0.90%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings Account 1 year fixed,"50,000","500,000",Offline,12.0,Fixed,0.95%,0.95%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings Account 2 year fixed,"5,000","49,999",Offline,24.0,Fixed,1.00%,1.00%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings Account 2 year fixed,"50,000","500,000",Offline,24.0,Fixed,1.05%,1.06%
 2018-03-20,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Current,,An everyday bank account ,,,Offline,,,,
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Savings,,Easy Access Cash E-ISA,1,,Online,,Variable,1.21%,1.21%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Cash E-ISA,1,,Online,12.0,Fixed,1.50%,1.50%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Rate Cash E-ISA,1,,Online,24.0,Fixed,1.66%,1.66%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate Cash E-ISA,1,,Online,36.0,Fixed,2.00%,2.00%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,5 Year Fixed Rate Cash E-ISA,1,,Online,60.0,Fixed,2.15%,2.15%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Savings,,Easy Access Cash ISA,1,,Offline,,Variable,1.21%,1.21%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Cash ISA,1,,Offline,12.0,Fixed,1.50%,1.50%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Rate Cash ISA,1,,Offline,24.0,Fixed,1.66%,1.66%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate Cash ISA,1,,Offline,36.0,Fixed,2.00%,2.00%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,5 Year Fixed Rate Cash ISA,1,,Offline,60.0,Fixed,2.15%,2.15%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Savings,,Regular E-Saver,1,"3,500",Online,,Fixed,2.25%,2.25%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Savings,,Regular Saver,1,"3,250",Offline,,Fixed,2.25%,2.25%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Savings,,Easy Access Saver,1,"250,000",Offline,,Variable,1.01%,1.01%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate E-Bond,1,"1,000,000",Online,12.0,Fixed,1.25%,1.25%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate E-Bond,1,"1,000,000",Online,36.0,Fixed,1.50%,1.50%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,5 Year Fixed Rate E-Bond,1,"1,000,000",Online,60.0,Fixed,1.75%,1.75%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Bond,1,"1,000,000",Offline,12.0,Fixed,1.25%,1.25%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate Bond,1,"1,000,000",Offline,36.0,Fixed,1.50%,1.50%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Term Deposits,,5 Year Fixed Rate Bond,1,"1,000,000",Offline,60.0,Fixed,1.75%,1.75%
 2018-03-20,UK,London,Virgin Money Plc,VM,GBP,Bank,Deposits,Current,,Essential Current Account,"100,000",,Offline,,Variable,0.75%,0.75%
