Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Term Deposits,,2 Year Premier Flexible Bond - Issue 13,1-1000000,Online,24.0,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Term Deposits,,2 Year Term Deposit,2000-5000000,Online,24.0,Fixed,1.10%,1.10%,comparethemarket.com
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Term Deposits,,2 Year Flexible Bond - Issue 34,1-1000000,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings 6 months,500-2000000,Online,6.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Term Savings Account Issue 091,5000-500000,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Term Savings Account 091,5000-500000,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate Bond,500-2000000,Offline,36.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Bond - Issue 91,500-1000000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Term Deposits,,12 Month Term Deposit,2000-5000000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Term Savings Account Issue 090,5000-500000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-05,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Term Savings Account Issue 090,5000-500000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Term Deposits,,1|2|3 2 Year Fixed Rate Bond,500-2000000,Offline,12.0,Fixed,0.80%,0.80%,comparethemarket.com
 2018-04-05,UK,London,TSB,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Bond,1-1000000,Online,24.0,Fixed,0.80%,0.80%,comparethemarket.com
 2018-04-05,UK,London,Bank of Ireland,GBP,Bank,Deposits,Term Deposits,,2 Year Limited Edition Fixed Term Deposit,2000-1000000,Offline,24.0,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings 3 months,500-2000000,Online,3.0,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate Saver ,2000-1000000,Offline,36.0,Fixed,0.70%,0.70%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Term Deposits,,1|2|3 1 Year Fixed Rate Bond,500-2000000,Offline,12.0,Fixed,0.70%,0.70%,comparethemarket.com
 2018-04-05,UK,London,Bank of Ireland,GBP,Bank,Deposits,Term Deposits,,18 Month Limited Edition Fixed Term Deposit,2000-1000000,Offline,18.0,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Rate Saver,2000-1000000,Offline,24.0,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-05,UK,London,Bank of Ireland,GBP,Bank,Deposits,Term Deposits,,12 Month Limited Edition Fixed Term Deposit,2000-1000000,Offline,12.0,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Term Deposits,,6 Month Term Deposit,2000-5000000,Online,6.0,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-05,UK,London,Halifax,GBP,Bank,Deposits,Term Deposits,,Fixed Saver - 2 Year ,500,Online,24.0,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Term Deposits,,2 Year Fixed Rate Bond,500-2000000,Online,24.0,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Saver,2000-1000000,Offline,12.0,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Bond,500-2000000,Offline,12.0,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-05,UK,London,Bank of Ireland,GBP,Bank,Deposits,Term Deposits,,9 Month Limited Edition Fixed Term Deposit,2000-1000000,Offline,9.0,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Term Deposits,,3 Month Term Deposit,2000-5000000,Online,3.0,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-05,UK,London,Halifax,GBP,Bank,Deposits,Term Deposits,,Fixed Saver - 1 Year ,500,Online,12.0,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-05,UK,London,Bank of Scotland,GBP,Bank,Deposits,Term Deposits,,Fixed Rate Bond 1 year,2000,Online,12.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Term Deposits,,6 Month Fixed Rate Saver ,2000-1000000,Offline,6.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,Lloyds Bank,GBP,Bank,Deposits,Term Deposits,,Fixed Bond - 1 Year,1,Offline,12.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,Lloyds Bank,GBP,Bank,Deposits,Term Deposits,,Online Fixed Bond - 1 Year,2000,Online,12.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,Bank of Ireland,GBP,Bank,Deposits,Term Deposits,,6 Month Limited Edition Fixed Term Deposit,2000-1000000,Offline,6.0,Fixed,0.30%,0.30%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Term Deposits,,3 Month Fixed Rate Saver,2000-1000000,Offline,3.0,Fixed,0.30%,0.30%,comparethemarket.com
