Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Flexi Cash ISA,1,,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,_MSBF,Access Cash ISA,1,,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-11,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,ISA Saver Variable,1,,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-11,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Cash ISA Saver,1,,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,eISA Issue 3,1,,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-11,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Savings,_MSBF,Instant Access ISA,1,,Online,,Fixed,0.25%,0.25%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Cash ISA,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Easy ISA,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Term Deposits,36MCDF,Fixed Term Savings 3 Years,500,2000000,Online,36.0,Fixed,2.00%,2.00%,comparethemarket.com
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Term Deposit,2000,5000000,Online,36.0,Fixed,1.75%,1.75%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Term Savings 1 year,500,2000000,Online,12.0,Fixed,1.65%,1.65%,comparethemarket.com
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Term Deposit,2000,5000000,Online,24.0,Fixed,1.60%,1.60%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Bond Issue 359,1,1000000,Offline,36.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate E-Bond Issue 314,1,1000000,Online,36.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,12MCDF,12 Month Term Deposit,2000,5000000,Online,12.0,Fixed,1.30%,1.30%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond Issue 358,1,1000000,Offline,12.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate E-Bond Issue 313,1,1000000,Online,12.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Premier Flexible Bond - Issue 13,1,1000000,Online,24.0,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Flexible Bond - Issue 34,1,1000000,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Term Deposits,6MCDF,Fixed Term Savings 6 months,500,2000000,Online,6.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Term Savings Account Issue 093,500,2000000,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Term Savings Account 093,5000,500000,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Bond,500,2000000,Offline,36.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-11,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond - Issue 91,500,1000000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
