Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.99,4.4,,10.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,3.5,,40.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.29,3.6,,30.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.34,3.7,,25.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.54,3.9,,20.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.64,3.9,,15.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,3.04,4.1,,10.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.84,4.0,,40.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,4.0,,30.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.94,4.1,,25.0,Existing Customers ,Primary Residence,Principal + Interest,3,
