Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-06,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.59% for 5 years,,Offline,10,Variable,2.09%,3.41%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,comparethemarket.com
 2018-04-06,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.59% for 2 years,,Offline,10,Variable,2.09%,3.79%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,comparethemarket.com
 2018-04-06,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.1% until 30/04/2023,,Offline,10,Variable,2.10%,3.47%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,BOE +1.61% until 30/06/2020,,Offline,10,Variable,2.11%,3.79%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.14% until 30/06/2023,,Offline,10,Variable,2.14%,3.43%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.18% until 01/07/2021,,Offline,10,Variable,2.18%,4.24%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.18% until 01/07/2021,,Offline,10,Variable,2.18%,4.29%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 30/04/2021,,Offline,10,Variable,2.19%,3.69%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 31/05/2021,,Offline,10,Variable,2.19%,3.63%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 30/04/2021,,Offline,10,Variable,2.19%,3.73%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
