Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30,Variable,2.94%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30,Variable,3.14%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30,Variable,3.19%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30,Variable,3.39%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 75 to 80%,,Offline,30,Variable,2.31%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30,Variable,2.56%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 75 to 80%,,Offline,30,Variable,2.84%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30,Variable,3.09%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30,Variable,2.87%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30,Variable,3.12%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30,Variable,3.14%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30,Variable,3.39%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,2 year Fixed,,Offline,30,Variable,1.94%,3.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,3 year Fixed,,Offline,30,Variable,1.94%,3.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,5 year Fixed,,Offline,30,Variable,1.99%,3.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,2 year Fixed,,Offline,30,Variable,1.94%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,3 year Fixed,,Offline,30,Variable,1.94%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,5 year Fixed,,Offline,30,Variable,1.99%,3.40%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,2 year Fixed,,Offline,30,Variable,1.94%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,3 year Fixed,,Offline,30,Variable,1.94%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,5 year Fixed,,Offline,30,Variable,1.99%,3.40%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,2 year Fixed,,Offline,10,Variable,1.94%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,3 year Fixed,,Offline,10,Variable,1.94%,3.40%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,5 year Fixed,,Offline,10,Variable,1.99%,2.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,2 year Fixed,,Offline,10,Variable,1.94%,3.40%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,3 year Fixed,,Offline,10,Variable,1.94%,3.10%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,5 year Fixed,,Offline,10,Variable,1.99%,2.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
