Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.09% until 31/05/2021,,Offline,10,Fixed,2.09%,3.55%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.09% until 31/05/2023,,Offline,10,Fixed,2.09%,3.36%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,BOE +1.59% for 5 years,,Offline,10,Fixed,2.09%,3.41%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,BOE +1.59% for 2 years,,Offline,10,Fixed,2.09%,3.79%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,BOE +1.61% until 30/06/2020,,Offline,10,Fixed,2.11%,3.78%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 2.14% until 30/06/2023,,Offline,10,Fixed,2.14%,3.42%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.18% until 01/07/2021,,Offline,10,Fixed,2.18%,4.23%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.18% until 01/07/2021,,Offline,10,Fixed,2.18%,4.27%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.19% until 31/05/2021,,Offline,10,Fixed,2.19%,3.62%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.24% until 02/07/2023,,Offline,10,Fixed,2.24%,3.27%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.25% until 01/07/2023,,Offline,10,Fixed,2.25%,3.97%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.26% until 30/06/2023,,Offline,10,Fixed,2.26%,3.46%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.29% until 31/05/2023,,Offline,10,Fixed,2.29%,3.38%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.29% until 02/07/2020,,Offline,10,Fixed,2.29%,3.52%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.29% until 01/07/2021,,Offline,10,Fixed,2.29%,4.25%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 2.29% until 30/06/2023,,Offline,10,Fixed,2.29%,3.47%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.29% for 3 years,,Offline,10,Fixed,2.29%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.29% until 30/06/2020,,Offline,10,Fixed,2.29%,3.81%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.33% until 01/07/2023,,Offline,10,Fixed,2.33%,3.95%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.38% until 30/06/2021,,Offline,10,Fixed,2.38%,3.66%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 2.39% until 31/07/2020,,Offline,10,Fixed,2.39%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 2.39% until 31/07/2020,,Offline,10,Fixed,2.39%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.4% until 30/06/2023,,Offline,10,Fixed,2.4%,3.51%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,BOE +1.94% until 01/07/2020,,Offline,10,Fixed,2.44%,4.44%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.44% until 31/05/2023,,Offline,10,Fixed,2.44%,3.48%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.46% until 30/06/2023,,Offline,10,Fixed,2.46%,3.48%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 2.46% until 31/07/2020,,Offline,10,Fixed,2.46%,3.76%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.49% until 31/05/2021,,Offline,10,Fixed,2.49%,3.63%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.49% for 5 years,,Offline,10,Fixed,2.49%,3.55%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.5% until 01/07/2023,,Offline,10,Fixed,2.5%,4.05%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.59% until 02/07/2023,,Offline,10,Fixed,2.59%,3.34%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 2.64% until 31/07/2020,,Offline,10,Fixed,2.64%,3.79%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.65% until 30/06/2021,,Offline,10,Fixed,2.65%,3.77%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 2.68% until 31/07/2023,,Offline,10,Fixed,2.68%,3.59%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 2.68% until 31/07/2023,,Offline,10,Fixed,2.68%,3.59%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.69% until 31/05/2023,,Offline,10,Fixed,2.69%,3.52%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.69% until 30/06/2020,,Offline,10,Fixed,2.69%,3.82%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.74% until 02/07/2023,,Offline,10,Fixed,2.74%,3.45%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.79% until 01/07/2023,,Offline,10,Fixed,2.79%,4.11%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.92% until 30/06/2021,,Offline,10,Fixed,2.92%,3.78%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.93% until 30/06/2023,,Offline,10,Fixed,2.93%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.99% until 31/05/2028,,Offline,10,Fixed,2.99%,3.35%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 3.03% until 31/07/2020,,Offline,10,Fixed,3.03%,3.85%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 3.03% until 31/07/2020,,Offline,10,Fixed,3.03%,3.85%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 3.13% until 30/06/2023,,Offline,10,Fixed,3.13%,3.72%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 3.14% until 02/07/2023,,Offline,10,Fixed,3.14%,3.54%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 3.19% until 30/06/2028,,Offline,10,Fixed,3.19%,3.51%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 3.3% until 31/07/2023,,Offline,10,Fixed,3.3%,3.76%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 3.3% until 31/07/2023,,Offline,10,Fixed,3.3%,3.76%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,BOE +3.19% until 01/07/2020,,Offline,10,Fixed,3.69%,4.68%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 3.72% until 31/07/2023,,Offline,10,Fixed,3.72%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 3.72% until 31/07/2023,,Offline,10,Fixed,3.72%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 3.74% until 30/06/2020,,Offline,10,Fixed,3.74%,3.97%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 3.79% until 30/06/2020,,Offline,10,Fixed,3.79%,4.03%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 3.84% until 02/07/2020,,Offline,10,Fixed,3.84%,3.76%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 3.84% until 01/07/2020,,Offline,10,Fixed,3.84%,4.66%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,BOE +3.49% until 02/07/2020,,Offline,10,Fixed,3.99%,3.79%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 4.04% until 30/06/2028,,Offline,10,Fixed,4.04%,4.04%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 4.19% until 30/06/2020,,Offline,10,Fixed,4.19%,4.04%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 4.19% until 01/07/2021,,Offline,10,Fixed,4.19%,4.67%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 4.24% until 30/06/2023,,Offline,10,Fixed,4.24%,4.09%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 4.31% until 31/07/2023,,Offline,10,Fixed,4.31%,4.11%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 4.31% until 31/07/2023,,Offline,10,Fixed,4.31%,4.11%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 4.34% until 01/07/2023,,Offline,10,Fixed,4.34%,4.65%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 4.44% until 02/07/2023,,Offline,10,Fixed,4.44%,3.99%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 4.54% until 30/06/2023,,Offline,10,Fixed,4.54%,4.24%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 4.74% until 30/06/2023,,Offline,10,Fixed,4.74%,4.26%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 5.09% until 30/06/2028,,Offline,10,Fixed,5.09%,4.68%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,BOE +0.89% for 2 years,,Offline,10,Fixed,1.39%,3.62%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.54% until 02/07/2020,,Offline,10,Fixed,1.54%,3.46%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.54% until 31/05/2020,,Offline,10,Fixed,1.54%,3.64%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 1.59% until 30/06/2020,,Offline,10,Fixed,1.59%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 1.62% until 30/06/2020,,Offline,10,Fixed,1.62%,3.71%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 1.71% until 01/07/2020,,Offline,10,Fixed,1.71%,4.37%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,BOE +1.24% until 01/07/2020,,Offline,10,Fixed,1.74%,4.38%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,BOE +1.29% for 2 years,,Offline,10,Fixed,1.79%,3.68%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 1.84% until 01/07/2021,,Offline,10,Fixed,1.84%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,BOE +1.34% until 02/07/2020,,Offline,10,Fixed,1.84%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.84% until 31/05/2020,,Offline,10,Fixed,1.84%,3.69%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 1.85% until 31/07/2020,,Offline,10,Fixed,1.85%,3.72%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 1.85% until 31/07/2020,,Offline,10,Fixed,1.85%,3.72%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.89% until 31/05/2021,,Offline,10,Fixed,1.89%,3.56%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Clydesdale Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.89% until 30/06/2020,,Offline,10,Fixed,1.89%,4.56%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% until 02/07/2020,,Offline,10,Fixed,1.94%,3.47%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% until 31/05/2020,,Offline,10,Fixed,1.94%,3.65%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% for 3 years,,Offline,10,Fixed,1.94%,3.63%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% for 2 years,,Offline,10,Fixed,1.94%,3.77%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 1.95% until 30/06/2021,,Offline,10,Fixed,1.95%,3.62%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,BOE +1.47% until 30/06/2020,,Offline,10,Fixed,1.97%,3.76%,216000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
