Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA - Issue 1,1,,Online,,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Premier Flexible Bond - Issue 13,1,1000000,Online,24,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Flexible Bond - Issue 34,1,1000000,Online,24,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond - Issue 91,500,1000000,Online,12,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,49999,Offline,,Fixed,0.20%,0.20%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA Issue 1,1,29999,Offline,,Fixed,0.55%,0.55%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Premier Flexible Bond - Issue 13,1,1000000,Offline,24,Fixed,1.16%,1.16%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Premier Flexible Bond - Issue 13,1,1000000,Offline,24,Fixed,1.15%,1.15%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Premier Flexible Bond - Issue 13,1,1000000,Offline,24,Fixed,1.15%,1.15%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Flexible Bond - Issue 34,1,1000000,Offline,24,Fixed,1%,1%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Flexible Bond - Issue 34,1,1000000,Offline,24,Fixed,1%,1%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Flexible Bond - Issue 34,1,1000000,Offline,24,Fixed,1%,1%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond Issue 91,500,1000000,Offline,12,Fixed,0.90%,0.90%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond Issue 91,500,1000000,Offline,12,Fixed,0.90%,0.90%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Current,_MCCF,Bank Account,,,Offline,,Fixed,0.00%,0.00%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Current,_MCCF,Bank Account with Blue Rewards,,,Offline,,Fixed,0.00%,0.00%,moneysupermarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Barclays ISA,,,Offline,,Fixed,0.65%,,uk.deposits.org
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,Barclays 1 Year Fixed Rate Bond,,,Offline,12,Fixed,0.70%,,uk.deposits.org
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,100000,,Offline,,Fixed,0.50%,0.50%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,50000,99999,Offline,,Fixed,0.30%,0.30%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,25000,49999,Offline,,Fixed,0.10%,0.10%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,0,24999,Offline,,Fixed,0.10%,0.10%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,100000,,Offline,,Fixed,0.25%,0.25%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,50000,99999,Offline,,Fixed,0.20%,0.20%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,25000,49999,Offline,,Fixed,0.15%,0.15%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,10000,24999,Offline,,Fixed,0.15%,0.15%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,5000,9999,Offline,,Fixed,0.10%,0.10%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,250,4999,Offline,,Fixed,0.10%,0.10%,Bank website
